DEP;DIR;CODECOM;LIBCOM;CODEVOIE;CLEFVOIE;nature_voie;LIBVOIE;TYPEVOIE;voie_entier;Coordonnees;Latitude;Longitude
64;0;422;OLORON SAINTE MARIE           ;95;K;RUE ;D AYOUS                   ;Voie;Rue;43.368074,-0.38939;43.368074;-0.38939
64;0;422;OLORON SAINTE MARIE           ;513;P;CHE ;D ILHASSE                 ;Voie;Chemin;43.1996997,-0.6354024;43.1996997;-0.6354024
64;0;422;OLORON SAINTE MARIE           ;70;H;RUE ;D'ARBORE                  ;Voie;Rue;43.1870612,-0.6173867;43.1870612;-0.6173867
64;0;422;OLORON SAINTE MARIE           ;80;U;RUE ;D'ASPE                    ;Voie;Rue;43.185351,-0.60016;43.185351;-0.60016
64;0;422;OLORON SAINTE MARIE           ;82;W;RUE ;D'ASPE PROLONGEE          ;Voie;Rue;43.178688,-0.594946;43.178688;-0.594946
64;0;422;OLORON SAINTE MARIE           ;290;X;RUE ;DALMAIS                   ;Voie;Rue;43.1907287,-0.60689;43.1907287;-0.60689
64;0;422;OLORON SAINTE MARIE           ;A079;M;LOT ;DARMAILLACQ               ;Ensemble immobilier;Lotissement ;43.1824927,-0.617348;43.1824927;-0.617348
64;0;422;OLORON SAINTE MARIE           ;293;A;CHE ;DARRE SEGUES              ;Voie;Chemin;43.1998286,-0.600502;43.1998286;-0.600502
64;0;422;OLORON SAINTE MARIE           ;101;S;CHE ;DE BACCARAU               ;Voie;Chemin;43.1782007,-0.6334486;43.1782007;-0.6334486
64;0;422;OLORON SAINTE MARIE           ;132;A;RUE ;DE BARBE                  ;Voie;Rue;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;133;B;RTE ;DE BARCUS                 ;Voie;Route;43.1928461,-0.6487742;43.1928461;-0.6487742
64;0;422;OLORON SAINTE MARIE           ;136;E;RTE ;DE BARETOUS               ;Voie;Route;43.176701,-0.6430043;43.176701;-0.6430043
64;0;422;OLORON SAINTE MARIE           ;138;G;CHE ;DE BASCOU                 ;Voie;Chemin;43.3247899,-0.2681554;43.3247899;-0.2681554
64;0;422;OLORON SAINTE MARIE           ;156;B;RTE ;DE BAYONNE                ;Voie;Route;43.2059067,-0.6364229;43.2059067;-0.6364229
64;0;422;OLORON SAINTE MARIE           ;155;A;CHEM;DE BELANDRE               ;Voie;Chemin;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;168;P;CHE ;DE BIDOS                  ;Voie;Chemin;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;172;U;RUE ;DE BITETE                 ;Voie;Rue;43.1866282,-0.6028017;43.1866282;-0.6028017
64;0;422;OLORON SAINTE MARIE           ;171;T;CHE ;DE BOILA                  ;Voie;Chemin;43.1827953,-0.588122;43.1827953;-0.588122
64;0;422;OLORON SAINTE MARIE           ;169;R;CHE ;DE BORDES ET HOURQUET     ;Voie;Chemin;43.1383974,-0.5607348;43.1383974;-0.5607348
64;0;422;OLORON SAINTE MARIE           ;175;X;RUE ;DE BROQUES                ;Voie;Rue;43.1676294,-0.5938369;43.1676294;-0.5938369
64;0;422;OLORON SAINTE MARIE           ;176;Y;CHE ;DE BRUCHOU                ;Voie;Chemin;43.1136188,-0.5619988;43.1136188;-0.5619988
64;0;422;OLORON SAINTE MARIE           ;173;V;CHE ;DE BUGALA                 ;Voie;Chemin;43.173982,-0.6401019;43.173982;-0.6401019
64;0;422;OLORON SAINTE MARIE           ;174;W;CHE ;DE BUGALADE               ;Voie;Chemin;43.208919,-0.638957;43.208919;-0.638957
64;0;422;OLORON SAINTE MARIE           ;183;F;CHE ;DE CANDAU                 ;Voie;Chemin;43.302527,-0.69281;43.302527;-0.69281
64;0;422;OLORON SAINTE MARIE           ;274;E;CHE ;DE COSTADARRE             ;Voie;Chemin;43.1716167,-0.6646058;43.1716167;-0.6646058
64;0;422;OLORON SAINTE MARIE           ;292;Z;RUE ;DE DARRE COQUE            ;Voie;Rue;43.183323,-0.618446;43.183323;-0.618446
64;0;422;OLORON SAINTE MARIE           ;490;P;AV  ;DE GOES                   ;Voie;Avenue;43.1948364,-0.6014574;43.1948364;-0.6014574
64;0;422;OLORON SAINTE MARIE           ;68;F;BD  ;DE L ARAGON               ;Voie;Boulevard;43.1796023,-0.6133337;43.1796023;-0.6133337
64;0;422;OLORON SAINTE MARIE           ;325;K;RUE ;DE L'EGALITE              ;Voie;Rue;43.1947631,-0.6202329;43.1947631;-0.6202329
64;0;422;OLORON SAINTE MARIE           ;333;U;ALL ;DE L'EMPEREUR NAPOLEON III;Voie;Allée;43.1929201,-0.6013727;43.1929201;-0.6013727
64;0;422;OLORON SAINTE MARIE           ;528;F;ALL ;DE L'IMPERATRICE EUGENIE  ;Voie;Allée;43.1923395,-0.599495;43.1923395;-0.599495
64;0;422;OLORON SAINTE MARIE           ;526;D;RUE ;DE L'INTENDANT D'ETIGNY   ;Voie;Rue;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;1720;B;RUE ;DE L'UNION                ;Voie;Rue;43.185149,-0.607257;43.185149;-0.607257
64;0;422;OLORON SAINTE MARIE           ;210;K;RUE ;DE LA CATHEDRALE          ;Voie;Rue;43.187892,-0.6149623;43.187892;-0.6149623
64;0;422;OLORON SAINTE MARIE           ;261;R;CHE ;DE LA COLLINETTE          ;Voie;Chemin;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;278;J;CHE ;DE LA CROIX DE SANDRIN    ;Voie;Chemin;#VALEUR!;#VALEUR!;#VALEUR!
64;0;422;OLORON SAINTE MARIE           ;345;G;RUE ;DE LA FILATURE            ;Voie;Rue;43.1915274,-0.6050532;43.1915274;-0.6050532
64;0;422;OLORON SAINTE MARIE           ;380;V;RUE ;DE LA FRATERNITE          ;Voie;Rue;43.190237,-0.613789;43.190237;-0.613789
64;0;422;OLORON SAINTE MARIE           ;420;N;AV  ;DE LA GARE                ;Voie;Avenue;43.193267,-0.6125024;43.193267;-0.6125024
